id,class,segmentation
case9_day22_slice_0001,large_bowel,
case9_day22_slice_0001,small_bowel,
case9_day22_slice_0001,stomach,
case9_day22_slice_0002,large_bowel,
case9_day22_slice_0002,small_bowel,
case9_day22_slice_0002,stomach,
case9_day22_slice_0003,large_bowel,
case9_day22_slice_0003,small_bowel,
case9_day22_slice_0003,stomach,
case9_day22_slice_0004,large_bowel,
case9_day22_slice_0004,small_bowel,
case9_day22_slice_0004,stomach,
case9_day22_slice_0005,large_bowel,
case9_day22_slice_0005,small_bowel,
case9_day22_slice_0005,stomach,
case9_day22_slice_0006,large_bowel,
case9_day22_slice_0006,small_bowel,
case9_day22_slice_0006,stomach,
case9_day22_slice_0007,large_bowel,
case9_day22_slice_0007,small_bowel,
case9_day22_slice_0007,stomach,
case9_day22_slice_0008,large_bowel,
case9_day22_slice_0008,small_bowel,
case9_day22_slice_0008,stomach,
case9_day22_slice_0009,large_bowel,
case9_day22_slice_0009,small_bowel,
case9_day22_slice_0009,stomach,
case9_day22_slice_0010,large_bowel,
case9_day22_slice_0010,small_bowel,
case9_day22_slice_0010,stomach,
case9_day22_slice_0011,large_bowel,
case9_day22_slice_0011,small_bowel,
case9_day22_slice_0011,stomach,
case9_day22_slice_0012,large_bowel,
case9_day22_slice_0012,small_bowel,
case9_day22_slice_0012,stomach,
case9_day22_slice_0013,large_bowel,
case9_day22_slice_0013,small_bowel,
case9_day22_slice_0013,stomach,
case9_day22_slice_0014,large_bowel,
case9_day22_slice_0014,small_bowel,
case9_day22_slice_0014,stomach,
case9_day22_slice_0015,large_bowel,
case9_day22_slice_0015,small_bowel,
case9_day22_slice_0015,stomach,
case9_day22_slice_0016,large_bowel,
case9_day22_slice_0016,small_bowel,
case9_day22_slice_0016,stomach,
case9_day22_slice_0017,large_bowel,
case9_day22_slice_0017,small_bowel,
case9_day22_slice_0017,stomach,
case9_day22_slice_0018,large_bowel,
case9_day22_slice_0018,small_bowel,
case9_day22_slice_0018,stomach,
case9_day22_slice_0019,large_bowel,
case9_day22_slice_0019,small_bowel,
case9_day22_slice_0019,stomach,
case9_day22_slice_0020,large_bowel,
case9_day22_slice_0020,small_bowel,
case9_day22_slice_0020,stomach,
case9_day22_slice_0021,large_bowel,
case9_day22_slice_0021,small_bowel,
case9_day22_slice_0021,stomach,
case9_day22_slice_0022,large_bowel,
case9_day22_slice_0022,small_bowel,
case9_day22_slice_0022,stomach,
case9_day22_slice_0023,large_bowel,
case9_day22_slice_0023,small_bowel,
case9_day22_slice_0023,stomach,
case9_day22_slice_0024,large_bowel,
case9_day22_slice_0024,small_bowel,
case9_day22_slice_0024,stomach,
case9_day22_slice_0025,large_bowel,
case9_day22_slice_0025,small_bowel,
case9_day22_slice_0025,stomach,
case9_day22_slice_0026,large_bowel,
case9_day22_slice_0026,small_bowel,
case9_day22_slice_0026,stomach,
case9_day22_slice_0027,large_bowel,
case9_day22_slice_0027,small_bowel,
case9_day22_slice_0027,stomach,
case9_day22_slice_0028,large_bowel,
case9_day22_slice_0028,small_bowel,
case9_day22_slice_0028,stomach,
case9_day22_slice_0029,large_bowel,
case9_day22_slice_0029,small_bowel,
case9_day22_slice_0029,stomach,
case9_day22_slice_0030,large_bowel,
case9_day22_slice_0030,small_bowel,
case9_day22_slice_0030,stomach,
case9_day22_slice_0031,large_bowel,
case9_day22_slice_0031,small_bowel,
case9_day22_slice_0031,stomach,
case9_day22_slice_0032,large_bowel,
case9_day22_slice_0032,small_bowel,
case9_day22_slice_0032,stomach,
case9_day22_slice_0033,large_bowel,
case9_day22_slice_0033,small_bowel,
case9_day22_slice_0033,stomach,
case9_day22_slice_0034,large_bowel,
case9_day22_slice_0034,small_bowel,
case9_day22_slice_0034,stomach,
case9_day22_slice_0035,large_bowel,
case9_day22_slice_0035,small_bowel,
case9_day22_slice_0035,stomach,
case9_day22_slice_0036,large_bowel,
case9_day22_slice_0036,small_bowel,
case9_day22_slice_0036,stomach,
case9_day22_slice_0037,large_bowel,
case9_day22_slice_0037,small_bowel,
case9_day22_slice_0037,stomach,
case9_day22_slice_0038,large_bowel,
case9_day22_slice_0038,small_bowel,
case9_day22_slice_0038,stomach,
case9_day22_slice_0039,large_bowel,
case9_day22_slice_0039,small_bowel,
case9_day22_slice_0039,stomach,
case9_day22_slice_0040,large_bowel,
case9_day22_slice_0040,small_bowel,
case9_day22_slice_0040,stomach,
case9_day22_slice_0041,large_bowel,
case9_day22_slice_0041,small_bowel,
case9_day22_slice_0041,stomach,
case9_day22_slice_0042,large_bowel,
case9_day22_slice_0042,small_bowel,
case9_day22_slice_0042,stomach,
case9_day22_slice_0043,large_bowel,
case9_day22_slice_0043,small_bowel,
case9_day22_slice_0043,stomach,
case9_day22_slice_0044,large_bowel,
case9_day22_slice_0044,small_bowel,
case9_day22_slice_0044,stomach,
case9_day22_slice_0045,large_bowel,
case9_day22_slice_0045,small_bowel,
case9_day22_slice_0045,stomach,
case9_day22_slice_0046,large_bowel,
case9_day22_slice_0046,small_bowel,
case9_day22_slice_0046,stomach,
case9_day22_slice_0047,large_bowel,
case9_day22_slice_0047,small_bowel,
case9_day22_slice_0047,stomach,
case9_day22_slice_0048,large_bowel,
case9_day22_slice_0048,small_bowel,
case9_day22_slice_0048,stomach,42644 14 43001 18 43359 21 43718 23 44077 24 44437 25 44796 26 45156 26 45516 26 45875 27 46235 27 46594 28 46952 30 47312 29 47671 29 48031 19 48391 19 48751 18 49111 18 49471 18 49832 17 50192 17 50553 16 50914 15 51274 15 51634 14 51994 13 52355 11 52715 11 53077 7
case9_day22_slice_0049,large_bowel,
case9_day22_slice_0049,small_bowel,
case9_day22_slice_0049,stomach,39768 5 40125 11 40484 14 40843 15 41202 17 41562 17 41921 18 42281 19 42640 21 42999 22 43358 24 43717 25 44076 26 44436 27 44796 27 45156 27 45515 28 45875 28 46235 28 46594 29 46953 29 47312 30 47671 30 48031 29 48391 28 48751 20 48773 2 49111 19 49471 18 49832 17 50193 16 50554 15 50914 14 51275 13 51635 12 51996 11 52356 10 52717 8
case9_day22_slice_0050,large_bowel,
case9_day22_slice_0050,small_bowel,
case9_day22_slice_0050,stomach,38689 4 39046 10 39405 13 39763 16 40122 18 40481 19 40840 21 41200 21 41559 23 41918 24 42277 26 42636 27 42996 27 43356 27 43716 27 44075 29 44435 29 44795 29 45155 29 45516 29 45876 29 46236 29 46597 27 46957 27 47317 26 47677 26 48037 25 48397 23 48757 21 49118 18 49478 12 49839 10 50201 8 50562 5
case9_day22_slice_0051,large_bowel,
case9_day22_slice_0051,small_bowel,
case9_day22_slice_0051,stomach,38328 5 38685 12 39043 16 39402 18 39761 20 40120 22 40479 23 40838 25 41197 26 41556 28 41916 28 42275 30 42635 30 42995 30 43355 30 43715 30 44075 30 44435 31 44795 31 45155 31 45516 29 45876 29 46237 28 46597 28 46958 27 47318 26 47678 25 48038 24 48398 22 48758 20 49119 18 49480 15 49841 12 50201 9 50563 4
case9_day22_slice_0052,large_bowel,
case9_day22_slice_0052,small_bowel,
case9_day22_slice_0052,stomach,38326 11 38684 15 39042 19 39401 21 39760 22 40118 25 40477 26 40836 28 41196 28 41555 30 41915 30 42275 30 42635 31 42995 31 43355 31 43715 31 44075 31 44435 31 44795 31 45156 30 45516 30 45877 29 46237 29 46598 27 46959 26 47319 26 47679 25 48039 24 48399 22 48760 19 49121 17 49482 14 49844 11 50206 8 50569 1
case9_day22_slice_0053,large_bowel,
case9_day22_slice_0053,small_bowel,
case9_day22_slice_0053,stomach,37966 10 38323 15 38681 19 39040 21 39399 23 39758 25 40117 27 40476 28 40836 29 41195 30 41555 30 41915 31 42275 31 42635 31 42995 32 43356 31 43716 31 44076 31 44436 31 44796 31 45156 31 45517 30 45878 28 46239 27 46599 27 46960 25 47320 25 47681 23 48041 22 48401 21 48762 19 49123 16 49484 14 49845 12 50206 9 50568 5
case9_day22_slice_0054,large_bowel,
case9_day22_slice_0054,small_bowel,
case9_day22_slice_0054,stomach,37605 10 37962 16 38320 19 38679 22 39038 24 39397 26 39756 27 40116 28 40476 28 40835 30 41195 31 41555 31 41915 32 42275 32 42635 33 42995 33 43356 32 43716 32 44076 32 44436 32 44797 31 45157 31 45518 30 45879 28 46240 27 46601 25 46961 25 47322 23 47683 21 48044 19 48405 17 48766 15 49127 13 49490 8 49852 5
case9_day22_slice_0055,large_bowel,
case9_day22_slice_0055,small_bowel,
case9_day22_slice_0055,stomach,37604 10 37961 17 38320 20 38679 22 39038 24 39397 26 39756 27 40116 28 40475 29 40835 30 41195 31 41555 32 41915 32 42275 33 42635 33 42995 34 43356 33 43716 32 44077 31 44437 31 44798 30 45159 29 45520 28 45881 26 46242 25 46602 24 46963 23 47324 22 47684 22 48045 20 48405 20 48766 18 49127 16 49490 11 49853 3
case9_day22_slice_0056,large_bowel,
case9_day22_slice_0056,small_bowel,
case9_day22_slice_0056,stomach,37245 7 37602 12 37960 17 38319 21 38678 23 39038 24 39397 26 39756 27 40116 28 40476 28 40835 30 41195 31 41555 32 41915 32 42275 33 42636 32 42996 32 43357 31 43718 30 44079 29 44439 29 44800 27 45162 25 45522 25 45883 24 46243 23 46604 22 46964 21 47325 20 47685 20 48046 19 48406 19 48767 17 49128 14 49490 6
case9_day22_slice_0057,large_bowel,
case9_day22_slice_0057,small_bowel,
